Outage Id,Table,Start,End,Capability,Typical Flow,Type of Restriction,Area for Stated Capability,Other Restricted Segments,Description,UID,Local Base Capability,Local Outage Capability
20216753,EGAT,13-Oct-26,26-Oct-26,148000,, No impact to FT-D anticipated, Empress/McNeill Borders," Segments 15, 16, 17, 18, 19, 20, partial 21, 23, partial 28 ", Gold Creek B3 - Compressor Station Maintenance,202167532,,
20216880,EGAT,24-Oct-26,30-Oct-26,154000,, No impact to FT-D anticipated, Empress/McNeill Borders," Segments 15, 16, 17, 18, 19, 20, 23, partial 21, and partial 28", Beiseker B3 - Compressor Station Maintenance,202168801,,
20171456,EGAT,01-Nov-26,03-Nov-26,145000,, Potential impact to FT-D, Empress/McNeill Borders," Segments 15, 16, 17, 18, 19, 20, 23, partial 21, and partial 28", NPS 42 Foothills Pipeline Zone 6 - Pipeline Maintenance,201714561,,
20216913,EGAT,01-Nov-26,07-Nov-26,154000,, No impact to FT-D anticipated, Empress/McNeill Borders," Segments 15, 16, 17, 18, 19, 20, 23, partial 21, and partial 28", Jenner - Compressor Station Maintenance,202169131,,
20171456,EGAT,04-Nov-26,06-Nov-26,135000,, Potential impact to FT-D, Empress/McNeill Borders," Segments 15, 16, 17, 18, 19, 20, 23, partial 21, and partial 28 ", NPS 42 Foothills Pipeline Zone 6 - Pipeline Maintenance,201714562,,
20721549,NEDA,05-Aug-26,12-Aug-26,112000,, Potential impact to FT-D," Segments 6, 10, 11, 13, 14, 15, 16, 23, 24, and partial 28", Typical Flow: 85000-115000, Otter Lake - Compressor Station Maintenance,207215494,,
20216752,NEDA,24-Aug-26,28-Aug-26,112000,, Potential impact to FT-D," Segments 6, 10, 11, 13, 14, 15, 16, 23, 24, and partial 28", Typical Flow: 85000-115000, Goodfish - Compressor Station Maintenance,202167521,,
20218699,NEDA,22-Sep-26,25-Sep-26,114000,, Potential impact to FT-D," Segments 6, 10, 11, 13, 14, 15, 16, 23, 24, and partial 28", Typical Flow: 85000-115000, Otter Lake - Compressor Station Maintenance,202186991,,
20216786,NEDA,28-Sep-26,02-Oct-26,110000,, Potential impact to FT-D," Segments 6, 10, 11, 13, 14, 15, 16, 23, 24, and partial 28", Typical Flow: 100000-130000, Meikle River C - Compressor Station Maintenance,202167861,,
20218711,NEDA,07-Oct-26,08-Oct-26,108000,, Potential impact to FT-D," Segments 6, 10, 11, 13, 14, 15, 16, 23, 24, and partial 28", Typical Flow: 100000-130000, Meikle River D5 - Compressor Station Maintenance,202187111,,
20721549,OSDA,05-Aug-26,12-Aug-26,90000,, Potential impact to FT-D," Segments 10, 11, and 14",, Otter Lake - Compressor Station Maintenance,207215495,,
20216752,OSDA,24-Aug-26,28-Aug-26,89000,, Potential impact to FT-D," Segments 10, 11, and 14 ",, Goodfish - Compressor Station Maintenance,202167522,,
20216770,OSDA,08-Sep-26,21-Sep-26,93000,, Potential impact to FT-D," Segments 10, 11, and 14",, Woodenhouse C3 - Compressor Station Maintenance,202167701,,
20218699,OSDA,22-Sep-26,25-Sep-26,92000,, Potential impact to FT-D," Segments 10, 11, and 14",, Otter Lake - Compressor Station Maintenance,202186992,,
20216786,OSDA,28-Sep-26,30-Sep-26,87000,, Potential impact to FT-D," Segments 10, 11, and 14",, Meikle River C - Compressor Station Maintenance,202167862,,
20216786,OSDA,01-Oct-26,02-Oct-26,88000,, Potential impact to FT-D," Segments 10, 11, and 14",, Meikle River C - Compressor Station Maintenance,202167863,,
20218711,OSDA,07-Oct-26,08-Oct-26,86000,, Potential impact to FT-D," Segments 10, 11, and 14",, Meikle River D5 - Compressor Station Maintenance,202187112,,
20171201,LCLD,10-Jul-26,21-Aug-26,0,10,,Saint Paul Sales,, NPS 10 Saddle Lake Lateral - Pipeline Maintenance,201712011,,
20171417,LCLD,06-Aug-26,19-Aug-26,4000,4500,, Alberta Montana Border Sales,, NPS 16 Waterton Montana Lateral - Pipeline Modification,201714171,,
20650230,LCLD,10-Aug-26,10-Aug-26,585,800,,Fort Kent #2 Sales,, Fort Kent #2 Sales - Meter Station Maintenance,206502301,,
20255744,LCLD,19-Aug-26,19-Aug-26,0,300,,Marguerite Lake Sales,, Marguerite Lake Sales - Meter Station Maintenance,202557441,,
20519862,LCLD,08-Sep-26,09-Sep-26,0,3000-3500,,Cold Lake Border Sales,, Cold Lake Border Sales - Meter Station Maintenance,205198621,,
20614447,LCLD,12-Sep-26,26-Sep-26,0,3,,Otauwau Sales,, NPS 8 Mitsue Lateral - Pipeline Modifications,206144472,,
20691964,LCLD,23-Sep-26,23-Sep-26,0,5800,,Aeco C Sales,,Aeco C Sales - Meter Station Maintenance,206919641,,
20654370,LCLD,29-Sep-26,10-Oct-26,0,575,,Waterton Sales,, NPS 18 Waterton Lateral Loop - Pipeline Maintenance,206543701,,
20170321,LCLD,26-Oct-26,29-Oct-26,0,50,,"Bigstone Sales, Grizzly Sales",, NPS 12 Bigstone Lateral - Pipeline Maintenance,201703212,,
