month,cohort,bcfd
2022-01,2022 & earlier,4.23690824507613
2022-02,2022 & earlier,4.431971643197143
2022-03,2022 & earlier,4.462027837900646
2022-04,2022 & earlier,4.6566637930770005
2022-05,2022 & earlier,4.560442046431937
2022-06,2022 & earlier,4.320753309568667
2022-07,2022 & earlier,4.56431196796
2022-08,2022 & earlier,4.48078723437742
2022-09,2022 & earlier,4.573526279484001
2022-10,2022 & earlier,4.58757888717742
2022-11,2022 & earlier,4.766570084701334
2022-12,2022 & earlier,4.750129945072904
2023-01,2022 & earlier,4.736256394300323
2023-01,2023,0.0884490837016129
2023-02,2022 & earlier,4.6475619588725
2023-02,2023,0.23767310208107148
2023-03,2022 & earlier,4.434213410588709
2023-03,2023,0.43671673134548394
2023-04,2022 & earlier,4.209147674580334
2023-04,2023,0.6275406886963334
2023-05,2022 & earlier,3.5794272486816134
2023-05,2023,0.8481515550425808
2023-06,2022 & earlier,3.6383332239253336
2023-06,2023,1.0115966444400002
2023-07,2022 & earlier,3.8231202092567744
2023-07,2023,1.1919113381906452
2023-08,2022 & earlier,3.63516808508
2023-08,2023,1.4214240796951614
2023-09,2022 & earlier,3.4472451467940006
2023-09,2023,1.4575533835003334
2023-10,2022 & earlier,3.357904401092904
2023-10,2023,1.6317740397141938
2023-11,2022 & earlier,3.4106919602650003
2023-11,2023,1.813405607236
2023-12,2022 & earlier,3.401149871365807
2023-12,2023,1.913201782504839
2024-01,2022 & earlier,3.269320324102581
2024-01,2023,1.7251613715780647
2024-01,2024,0.06364939258580646
2024-02,2022 & earlier,3.289909293086552
2024-02,2023,1.6545265742034485
2024-02,2024,0.24314938131413796
2024-03,2022 & earlier,3.1673002568645163
2024-03,2023,1.5442029250219358
2024-03,2024,0.4633265856322581
2024-04,2022 & earlier,3.145600869842667
2024-04,2023,1.4512839648093336
2024-04,2024,0.6415315488266667
2024-05,2022 & earlier,2.9477923977067744
2024-05,2023,1.2788800524519357
2024-05,2024,0.7208275939074195
2024-06,2022 & earlier,2.928870318178667
2024-06,2023,1.2053009522630003
2024-06,2024,0.8767886629733335
2024-07,2022 & earlier,2.860504028451291
2024-07,2023,1.172690344409355
2024-07,2024,0.9871081783577421
2024-08,2022 & earlier,2.8857433306229034
2024-08,2023,1.1276130664719355
2024-08,2024,1.1618147838300001
2024-09,2022 & earlier,2.5822482975820003
2024-09,2023,1.0183954304840002
2024-09,2024,1.1716332121553334
2024-10,2022 & earlier,2.6562804853719357
2024-10,2023,1.0279053146551613
2024-10,2024,1.4424693625274196
2024-11,2022 & earlier,2.756726340999667
2024-11,2023,0.9815658475696667
2024-11,2024,1.6133856184650002
2024-12,2022 & earlier,2.687131293373549
2024-12,2023,0.928796431799355
2024-12,2024,1.7444560705558068
2025-01,2022 & earlier,2.6817071832903228
2025-01,2023,0.9132758489861291
2025-01,2024,1.7765921058006453
2025-01,2025,0.04365796875258065
2025-02,2022 & earlier,2.6581499552689287
2025-02,2023,0.867007415982143
2025-02,2024,1.6811380055303573
2025-02,2025,0.18615891857142858
2025-03,2022 & earlier,2.6921069067667744
2025-03,2023,0.8494375797145163
2025-03,2024,1.5615881239951617
2025-03,2025,0.3793761390370968
2025-04,2022 & earlier,2.554457512132667
2025-04,2023,0.8163499082366668
2025-04,2024,1.4377345384290001
2025-04,2025,0.5408240302583335
2025-05,2022 & earlier,2.466592472812581
2025-05,2023,0.7564650246980646
2025-05,2024,1.3444117185477422
2025-05,2025,0.6885160104280647
2025-06,2022 & earlier,2.3639501263850002
2025-06,2023,0.6820729421423334
2025-06,2024,1.1991483075133336
2025-06,2025,0.7225334647950001
2025-07,2022 & earlier,2.3811105074212904
2025-07,2023,0.6705277275135485
2025-07,2024,1.1793369127045161
2025-07,2025,0.9014929284535486
2025-08,2022 & earlier,2.3531208736300004
2025-08,2023,0.6518252902303228
2025-08,2024,1.0948369238100002
2025-08,2025,1.0843511919512905
2025-09,2022 & earlier,2.2597442159190004
2025-09,2023,0.6413017678453334
2025-09,2024,1.0400974907906668
2025-09,2025,1.2926245526783335
2025-10,2022 & earlier,2.335659691092581
2025-10,2023,0.6431858336712905
2025-10,2024,1.060354169790968
2025-10,2025,1.3969896109283872
2025-11,2022 & earlier,2.4114860668983336
2025-11,2023,0.6320839248513335
2025-11,2024,1.0061332249186667
2025-11,2025,1.5393521168163335
2025-12,2022 & earlier,2.3708120573909683
2025-12,2023,0.6158430284819356
2025-12,2024,0.9797865297006453
2025-12,2025,1.5896864359277423
2026-01,2022 & earlier,2.390610731313226
2026-01,2023,0.6283043330096775
2026-01,2024,0.9675560238251615
2026-01,2025,1.556670608979355
2026-01,2026,0.06196214735451614
2026-02,2022 & earlier,2.3397165486253577
2026-02,2023,0.6106017574100001
2026-02,2024,0.924210167042143
2026-02,2025,1.4582533124460715
2026-02,2026,0.17126708795321433
2026-03,2022 & earlier,2.2428285087945166
2026-03,2023,0.5740467140112904
2026-03,2024,0.8422817962290323
2026-03,2025,1.3571168084238712
2026-03,2026,0.32375218290387103
2026-04,2022 & earlier,2.1406103109003336
2026-04,2023,0.5688694346946668
2026-04,2024,0.8416038033536668
2026-04,2025,1.2853843328843333
2026-04,2026,0.377823499772
2026-05,2022 & earlier,1.9835328302490325
2026-05,2023,0.5289663602774194
2026-05,2024,0.757218708747097
2026-05,2025,1.0936511473187098
2026-05,2026,0.40094214281677426
2026-06,2022 & earlier,1.9834799075636669
2026-06,2023,0.500667449457
2026-06,2024,0.7114260499196667
2026-06,2025,1.0569637915106669
2026-06,2026,0.4254115883256667
