cohort,age_months,rate_mmcfd,floor
2022,0,0.008088205483870969,0.0
2022,1,0.02130463702688172,0.0
2022,2,0.02494812677419355,0.0
2022,3,0.025977460771889407,0.0
2022,4,0.02625059366666667,0.0
2022,5,0.02597339225806452,0.0
2022,6,0.026804996483870972,0.0
2022,7,0.02734041290322581,0.0
2022,8,0.028251760000000004,0.0
2022,9,0.028365678387096777,0.0
2022,10,0.028479596774193552,0.0
2022,11,0.02898327878571429,0.0
2022,12,0.028134044333333334,0.0
2022,13,0.02778089733333334,0.0
2022,14,0.02732522378494624,0.0
2022,15,0.0271341813403782,0.0
2022,16,0.02766318166666667,0.0
2022,17,0.028593515161290325,0.0
2022,18,0.02813784161290323,0.0
2022,19,0.027959107591768634,0.0
2022,20,0.028479596774193552,0.0
2022,21,0.028958054000000007,0.0
2022,22,0.029428916666666673,0.0
2022,23,0.028840338333333337,0.0
2022,24,0.02893527032258065,0.0
2023,0,0.014782944982718895,0.0
2023,1,0.048166592704301084,0.0
2023,2,0.05921098033333334,0.0
2023,3,0.06687009322580646,0.0
2023,4,0.06998320776974418,0.0
2023,5,0.07792017677419356,0.0
2023,6,0.0799707077419355,0.0
2023,7,0.07826193193548388,0.0
2023,8,0.07848976870967744,0.0
2023,9,0.08298954500000001,0.0
2023,10,0.08099407458602151,0.0
2023,11,0.08158913448275863,0.0
2023,12,0.076632899,0.0
2023,13,0.0755278906451613,0.0
2023,14,0.07518613548387097,0.0
2023,15,0.07712274806451615,0.0
2023,16,0.0813377283870968,0.0
2023,17,0.08238415014285716,0.0
2023,18,0.08008462612903228,0.0
2023,19,0.07675061466666669,0.0
2023,20,0.07450262516129033,0.0
2023,21,0.07188250225806453,0.0
2023,22,0.06971805290322582,0.0
2023,23,0.06869278741935485,0.0
2023,24,0.06675617483870969,0.0
2024,0,0.023695024516129037,0.0
2024,1,0.08958162233333335,0.0
2024,2,0.11312095838709678,0.0
2024,3,0.11832513003763441,0.0
2024,4,0.12747467516129035,0.0
2024,5,0.13148839966666667,0.0
2024,6,0.12969608370967745,0.0
2024,7,0.13157573709677423,0.0
2024,8,0.132430125,0.0
2024,9,0.1286632236666667,0.0
2024,10,0.12348753161290325,0.0
2024,11,0.12439887870967743,0.0
2024,12,0.12787338951612903,0.0
2024,13,0.12108710845622121,0.0
2024,14,0.11648155080645163,0.0
2024,15,0.11746694485483872,0.0
2024,16,0.11938646967741937,0.0
2024,17,0.11616013821428572,0.0
2024,18,0.11260073108602152,0.0
2024,19,0.10993124354838711,0.0
2024,20,0.11665242838709679,0.0
2024,21,0.10679753858333335,0.0
2024,22,0.10867814129032259,0.0
2024,23,0.10617193677419356,0.0
2024,24,0.11613369287442397,0.0
2025,0,0.028251760000000004,0.0
2025,1,0.10195695645161293,0.0
2025,2,0.13268237285714288,0.0
2025,3,0.17156109096774197,0.0
2025,4,0.18963993900000004,0.0
2025,5,0.19175882100000002,0.0
2025,6,0.20492195501190477,0.0
2025,7,0.20423668166666667,0.0
2025,8,0.20024574083870972,0.0
2025,9,0.20425566806451614,0.0
2025,10,0.18635908945161292,0.0
2025,11,0.17554823451612905,0.0
2025,12,0.14934700548387098,0.0
2025,13,0.1527360775,0.0
2025,14,0.1484926175806452,0.0
2025,15,0.14537884833333337,0.0
2025,16,0.1435371677419355,0.0
2025,17,0.10818069766666669,0.0
2026,0,0.035542536774193556,0.0
2026,1,0.13413700216666669,0.0
2026,2,0.25038122300000004,0.0
2026,3,0.25926875583333336,0.0
2026,4,0.24448214918817207,0.0
2026,5,0.18657933166666668,0.0
2022,0,0.4165957443333334,0.5
2022,1,1.2494568696774193,0.5
2022,2,1.6555759196774196,0.5
2022,3,1.6520387537580645,0.5
2022,4,1.5637576996774196,0.5
2022,5,1.459180620322581,0.5
2022,6,1.345603988387097,0.5
2022,7,1.2888726316129036,0.5
2022,8,1.160828364516129,0.5
2022,9,1.0867244537096774,0.5
2022,10,1.047365650967742,0.5
2022,11,0.9765775789285716,0.5
2022,12,0.9169025167849464,0.5
2022,13,0.8618495575806453,0.5
2022,14,0.7992191269946237,0.5
2022,15,0.7902252703333335,0.5
2022,16,0.7574433558064517,0.5
2022,17,0.759835641935484,0.5
2022,18,0.724520941935484,0.5
2022,19,0.7028194891935484,0.5
2022,20,0.6864722006451615,0.5
2022,21,0.6619151936666667,0.5
2022,22,0.6442198708709679,0.5
2022,23,0.6225129186206897,0.5
2022,24,0.6240449245161291,0.5
2023,0,0.4558118778571429,0.5
2023,1,1.6323042918333335,0.5
2023,2,2.2190580323333338,0.5
2023,3,2.0736564003225806,0.5
2023,4,1.881362162903226,0.5
2023,5,1.7927906169354841,0.5
2023,6,1.6358946196666668,0.5
2023,7,1.536303368387097,0.5
2023,8,1.4204749496666669,0.5
2023,9,1.3061312672580647,0.5
2023,10,1.2700760977419356,0.5
2023,11,1.1836310283333336,0.5
2023,12,1.1176874713225808,0.5
2023,13,1.086280172,0.5
2023,14,1.0321005870967743,0.5
2023,15,1.001570459354839,0.5
2023,16,0.927295670967742,0.5
2023,17,0.8851458677419356,0.5
2023,18,0.8710199877419356,0.5
2023,19,0.8304973188118281,0.5
2023,20,0.8000377119761906,0.5
2023,21,0.7574759039170507,0.5
2023,22,0.7297611877419357,0.5
2023,23,0.7139834911290324,0.5
2023,24,0.7010537541935484,0.5
2024,0,0.475267510967742,0.5
2024,1,1.7703624434482759,0.5
2024,2,2.189629115666667,0.5
2024,3,2.1241222458064515,0.5
2024,4,2.1244640009677425,0.5
2024,5,1.9174742916129035,0.5
2024,6,1.7991662493333336,0.5
2024,7,1.6363351040967742,0.5
2024,8,1.5550239566666668,0.5
2024,9,1.4975711167741936,0.5
2024,10,1.4180029206666667,0.5
2024,11,1.3146105925376346,0.5
2024,12,1.1831753547849464,0.5
2024,13,1.1183368061290324,0.5
2024,14,1.1120346782142858,0.5
2024,15,1.0677247653817203,0.5
2024,16,1.0088612361290326,0.5
2024,17,1.017416507,0.5
2024,18,0.9571726666236561,0.5
2024,19,0.9321941616129034,0.5
2024,20,0.9000539873333334,0.5
2024,21,0.8882908289285715,0.5
2024,22,0.8466376556236561,0.5
2024,23,0.835477450967742,0.5
2024,24,0.7849280653333335,0.5
2025,0,0.4157451537096775,0.5
2025,1,1.8453639525806456,0.5
2025,2,2.261665407747312,0.5
2025,3,2.2186289397419356,0.5
2025,4,2.0774157070967743,0.5
2025,5,1.8962854716129034,0.5
2025,6,1.758615100806452,0.5
2025,7,1.6294031702419356,0.5
2025,8,1.4578135996774195,0.5
2025,9,1.3040541553333334,0.5
2025,10,1.2872777741935486,0.5
2025,11,1.1572874013172045,0.5
2025,12,1.0707758795161293,0.5
2025,13,0.9900647022580646,0.5
2025,14,0.8783107645161291,0.5
2025,15,0.8755691286666667,0.5
2025,16,0.9206542290000002,0.5
2025,17,0.9610895605,0.5
2026,0,0.6707514632258065,0.5
2026,1,1.7664223076021508,0.5
2026,2,1.906369147510753,0.5
2026,3,1.9622024476666668,0.5
2026,4,2.1241792050000003,0.5
2026,5,1.4456072445,0.5
2022,0,0.6426705808064517,1.0
2022,1,2.2215300613333335,1.0
2022,2,2.7237525613279576,1.0
2022,3,2.4822702629999998,1.0
2022,4,2.3081687920000005,1.0
2022,5,2.1654176611290326,1.0
2022,6,1.9840026296774196,1.0
2022,7,1.8197323154838712,1.0
2022,8,1.699107932666667,1.0
2022,9,1.5892792156666669,1.0
2022,10,1.4949509938709677,1.0
2022,11,1.3655397061290326,1.0
2022,12,1.2907522850000002,1.0
2022,13,1.251209314198925,1.0
2022,14,1.1571829761290322,1.0
2022,15,1.1181811176666667,1.0
2022,16,1.074592145483871,1.0
2022,17,1.0624028780645163,1.0
2022,18,1.0245971626666668,1.0
2022,19,1.0072929596666669,1.0
2022,20,0.9726351890322581,1.0
2022,21,0.9403962854838711,1.0
2022,22,0.9218275883870969,1.0
2022,23,0.8826396632258066,1.0
2022,24,0.8777411725806452,1.0
2023,0,0.6844786288709679,1.0
2023,1,2.476699653870968,1.0
2023,2,2.983351680483872,1.0
2023,3,2.683328621666667,1.0
2023,4,2.482509491612903,1.0
2023,5,2.3332194453225807,1.0
2023,6,2.108993884,1.0
2023,7,1.9737385830000003,1.0
2023,8,1.8306608860860218,1.0
2023,9,1.6977542025000003,1.0
2023,10,1.6219464261624028,1.0
2023,11,1.5195573654838712,1.0
2023,12,1.4447129851612905,1.0
2023,13,1.3782985654838713,1.0
2023,14,1.3166666838076038,1.0
2023,15,1.2769112009677424,1.0
2023,16,1.2290692756666668,1.0
2023,17,1.144310198387097,1.0
2023,18,1.1030717422580647,1.0
2023,19,1.0694658180645162,1.0
2023,20,1.02059483,1.0
2023,21,0.9925709067741937,1.0
2023,22,0.9430286139285716,1.0
2023,23,0.9225376796666668,1.0
2023,24,0.8972212167741938,1.0
2024,0,0.7288954080000001,1.0
2024,1,2.5493560155172417,1.0
2024,2,3.315480738064517,1.0
