cohort,age_months,mean,median,count
2022,0,0.20928458975097514,0.008088205483870969,10073
2022,1,0.46006976543870015,0.02130463702688172,8950
2022,2,0.5106246688935879,0.02494812677419355,8569
2022,3,0.49978992520117876,0.025977460771889407,8416
2022,4,0.47019726574573456,0.02625059366666667,8305
2022,5,0.44267700573034247,0.02597339225806452,8164
2022,6,0.41598221271896374,0.026804996483870972,8024
2022,7,0.39524691887268265,0.02734041290322581,7845
2022,8,0.37930504105653906,0.028251760000000004,7685
2022,9,0.3611639675813791,0.028365678387096777,7497
2022,10,0.3424052444816066,0.028479596774193552,7487
2022,11,0.32324753954626567,0.02898327878571429,7486
2022,12,0.30696196913934,0.028134044333333334,7575
2022,13,0.29107106944840816,0.02778089733333334,7519
2022,14,0.2686750705196416,0.02732522378494624,7496
2022,15,0.2672456557274109,0.0271341813403782,7400
2022,16,0.2586625736920827,0.02766318166666667,7368
2022,17,0.2558131645113226,0.028593515161290325,7259
2022,18,0.24948293579254208,0.02813784161290323,7214
2022,19,0.24408834681416908,0.027959107591768634,7140
2022,20,0.23765656475169328,0.028479596774193552,7010
2022,21,0.23621038895329408,0.028958054000000007,6959
2022,22,0.23183617992089953,0.029428916666666673,6906
2022,23,0.24961938577955423,0.028840338333333337,6887
2022,24,0.2332786687706011,0.02893527032258065,6977
2023,0,0.36242721419554186,0.014782944982718895,4820
2023,1,0.8584498901014171,0.048166592704301084,4430
2023,2,0.9703230420714495,0.05921098033333334,4333
2023,3,0.9168013809061832,0.06687009322580646,4241
2023,4,0.8680970992906343,0.06998320776974418,4166
2023,5,0.8206340420869261,0.07792017677419356,4137
2023,6,0.76573906513838,0.0799707077419355,4127
2023,7,0.7218373832155586,0.07826193193548388,4095
2023,8,0.6754254745631253,0.07848976870967744,4085
2023,9,0.6415729935564514,0.08298954500000001,4044
2023,10,0.6136354105183005,0.08099407458602151,4028
2023,11,0.5904954443933543,0.08158913448275863,4001
2023,12,0.5573831138760229,0.076632899,4009
2023,13,0.5459551764558636,0.0755278906451613,3997
2023,14,0.5122386323719877,0.07518613548387097,3943
2023,15,0.4882523214911297,0.07712274806451615,3933
2023,16,0.47752506950621604,0.0813377283870968,3895
2023,17,0.4625454309778802,0.08238415014285716,3860
2023,18,0.44314802846964035,0.08008462612903228,3854
2023,19,0.4342148791671187,0.07675061466666669,3834
2023,20,0.4129283682900793,0.07450262516129033,3835
2023,21,0.39988666714856796,0.07188250225806453,3840
2023,22,0.38216574783714224,0.06971805290322582,3841
2023,23,0.38469439651366344,0.06869278741935485,3839
2023,24,0.3862002590350868,0.06675617483870969,3823
2024,0,0.4848950119969729,0.023695024516129037,3737
2024,1,1.1163737214895788,0.08958162233333335,3487
2024,2,1.2260806185785023,0.11312095838709678,3429
2024,3,1.1850462512948172,0.11832513003763441,3386
2024,4,1.125642957492537,0.12747467516129035,3365
2024,5,1.0696201211582763,0.13148839966666667,3335
2024,6,1.0055347345162549,0.12969608370967745,3314
2024,7,0.9455262332014154,0.13157573709677423,3295
2024,8,0.8935228024622527,0.132430125,3281
2024,9,0.8438160547510317,0.1286632236666667,3277
2024,10,0.7938423210610456,0.12348753161290325,3283
2024,11,0.747315754414044,0.12439887870967743,3265
2024,12,0.7125577937226706,0.12787338951612903,3264
2024,13,0.6781402267546122,0.12108710845622121,3250
2024,14,0.6522280928999267,0.11648155080645163,3230
2024,15,0.6270939367965668,0.11746694485483872,3206
2024,16,0.6098978504859986,0.11938646967741937,3211
2024,17,0.5901265558400696,0.11616013821428572,3215
2024,18,0.5673731278662022,0.11260073108602152,3216
2024,19,0.5373638331085319,0.10993124354838711,2977
2024,20,0.5281199833090501,0.11665242838709679,2657
2024,21,0.5139472437354466,0.10679753858333335,2316
2024,22,0.49205264859571907,0.10867814129032259,2001
2024,23,0.47937525699072236,0.10617193677419356,1735
2024,24,0.4873668695751765,0.11613369287442397,1472
2025,0,0.5234898603860851,0.028251760000000004,3549
2025,1,1.2739432654736251,0.10195695645161293,3338
2025,2,1.3548578397292852,0.13268237285714288,3283
2025,3,1.2927368242087192,0.17156109096774197,3268
2025,4,1.2417985758837302,0.18963993900000004,3217
2025,5,1.1771257921762994,0.19175882100000002,3181
2025,6,1.0884447618552109,0.20492195501190477,3166
2025,7,1.0300265757390448,0.20423668166666667,2905
2025,8,0.9296906500066956,0.20024574083870972,2638
2025,9,0.8754178458532871,0.20425566806451614,2346
2025,10,0.8320144688149236,0.18635908945161292,2038
2025,11,0.741077749204555,0.17554823451612905,1782
2025,12,0.676526118214703,0.14934700548387098,1515
2025,13,0.6571355597066791,0.1527360775,1301
2025,14,0.5887457822348064,0.1484926175806452,1092
2025,15,0.6034334991442248,0.14537884833333337,821
2025,16,0.6256243043175246,0.1435371677419355,487
2025,17,0.546655620691412,0.10818069766666669,229
2026,0,0.5295195214148598,0.035542536774193556,1628
2026,1,1.2751924624344686,0.13413700216666669,1242
2026,2,1.3717524049482817,0.25038122300000004,978
2026,3,1.3953948895046262,0.25926875583333336,774
2026,4,1.3462190770303577,0.24448214918817207,430
2026,5,0.9784364958995435,0.18657933166666668,219
