month,base_a_year_ago,same_wells_now,decline_pct,new_well_supply,total_now,wells_a_year_ago,of_those_still_on
2023-01,14301.629300469358,10629.50267306355,25.676281703688776,3539.984374169999,14169.48704723355,137891,130854
2023-02,14339.242967096787,10643.770239057503,25.77174217996735,3555.876872037499,14199.647111095002,137736,130462
2023-03,13671.279107145809,10063.530380411292,26.38925515644539,3524.999777368066,13588.530157779358,138679,131614
2023-04,13331.093836161668,9768.732655483669,26.722197176459794,3441.517808747998,13210.250464231667,139032,132162
2023-05,12680.822753472905,8566.49946462871,32.44523931002349,3005.7490606525807,11572.248525281291,139047,131795
2023-06,12536.249285352667,8993.667397282,28.25870647139901,3232.475149558335,12226.142546840336,138879,131027
2023-07,12944.94663501871,9701.411737835486,25.056379053806243,3377.212770277096,13078.624508112582,139342,131480
2023-08,12768.96095389613,9666.383086905484,24.297809964278827,3425.072846574518,13091.455933480001,139561,131391
2023-09,12885.247749828,9460.457455029002,26.57915750859129,3286.173976084332,12746.631431113334,139524,131441
2023-10,13047.003383977422,9609.706183120325,26.345491755435003,3274.0602403529047,12883.76642347323,139790,132029
2023-11,13833.096652141336,10195.046063531669,26.29961085428044,3510.291892125666,13705.337955657335,139348,131757
2023-12,14774.490057672905,10575.925260754517,28.417663015976157,3563.1606143512927,14139.08587510581,138551,131306
2024-01,14169.48704723355,11404.331341761615,19.51486102675681,3419.1681148161297,14823.499456577745,139043,131459
2024-02,14199.647111095002,10835.289742077588,23.693246337006848,3178.4287005503447,14013.718442627933,138535,131018
2024-03,13588.530157779358,10196.233339948389,24.96441321057008,3253.3979511380658,13449.631291086454,139304,131524
2024-04,13210.250464231667,9895.291593893002,25.093838147235083,3233.7234064876666,13129.015000380668,139563,131164
2024-05,11572.248525281291,9578.559415149033,17.22819126962879,3157.9010785819373,12736.46049373097,139103,130101
2024-06,12226.142546840336,9449.154161284334,22.713528612290503,3320.605455437335,12769.759616721669,138014,129283
2024-07,13078.624508112582,9534.005933955485,27.102380467903142,3316.3382017641943,12850.344135719679,138277,129490
2024-08,13091.455933480001,9651.146502631293,26.279043739134355,3194.506246070967,12845.65274870226,137999,129074
2024-09,12746.631431113334,9036.924844174668,29.103427105326197,3077.721543247335,12114.646387422003,138039,128807
2024-10,12883.76642347323,9689.040542751936,24.796521263384196,3361.36307724355,13050.403619995486,138449,129573
2024-11,13705.337955657335,10276.198537837667,25.020465959426975,3662.2446895796693,13938.443227417336,138432,129713
2024-12,14139.08587510581,10562.83353187258,25.293377342942737,4013.029565242261,14575.863097114841,138328,129391
2025-01,14823.499456577745,11212.226322783226,24.361812434189154,3688.1965246816144,14900.42284746484,138023,129247
2025-02,14013.718442627933,11420.588199453217,18.504226795985467,3929.0338116771436,15349.622011130361,137834,129038
2025-03,13449.631291086454,10418.431723572583,22.537417583504716,3804.231173655484,14222.662897228067,137890,129442
2025-04,13129.015000380668,9902.368306626002,24.576456753694863,3682.9321585553334,13585.300465181335,137433,129129
2025-05,12736.46049373097,9707.338000169033,23.783079255440754,3424.793860444517,13132.13186061355,136639,128493
2025-06,12769.759616721669,9510.973367644001,25.519558291530963,3191.6701908649993,12702.643558509,136219,128343
2025-07,12850.344135719679,9706.339619424518,24.46630598441232,3337.401483701613,13043.74110312613,136028,128234
2025-08,12845.65274870226,9508.012833816454,25.98264160007745,3500.0524480225795,13008.065281839034,135496,127196
2025-09,12114.646387422003,9437.783534178334,22.09608739403994,3577.418544748334,13015.202078926668,135153,127362
2025-10,13050.403619995486,9833.195489907099,24.652173402200873,3586.6833942661287,13419.878884173228,135703,127657
2025-11,13938.443227417336,10427.075649529668,25.191963841275346,3761.275583907667,14188.351233437335,135735,128388
2025-12,14575.863097114841,11732.43372611355,19.507794166673552,3990.656335771613,15723.090061885163,135159,127844
2026-01,14900.42284746484,11737.49386695,21.227108873980583,3987.24197387355,15724.73584082355,135230,128034
2026-02,15349.622011130361,11349.750694971073,26.05843527129782,3906.068410019285,15255.819104990358,134959,127873
2026-03,14222.662897228067,10490.196320300001,26.243092477819374,3985.006439445162,14475.202759745163,135239,128192
2026-04,13585.300465181335,10065.579548155669,25.908303802676958,3810.4674307039986,13876.046978859667,135472,128082
2026-05,13132.13186061355,9549.991303788065,27.277677340182628,3540.894696001291,13090.885999789356,134991,127335
2026-06,12702.643558509,9479.052410314001,25.377325068966783,3738.410375098667,13217.462785412668,134669,127382
