cohort,wells,mean_rate,median_rate,p90_rate,dropped_cohorts
2022,9969,0.42545355562019654,0.020391391290322584,0.9115346281380955,2022
2023,4731,0.79051755391162,0.050807600645161294,2.7995367683440873,2022
2024,3658,1.0259229726930914,0.08988160741935486,3.7480288538709696,2022
2025,3469,1.1354231461755033,0.11551324451612906,3.8904471803110603,2022
2026,1614,1.0739154072183752,0.12360145000000002,3.7072460712903235,2022
