published,source_file,outages,tables
2026-07-27 21:32:23,outages_2026_07_27_21_32_23.json,118,10
2026-07-28 21:25:46,outages_2026_07_28_21_25_46.json,116,10
2026-07-29 21:43:37,outages_2026_07_29_21_43_37.json,118,10
2026-07-30 21:51:50,outages_2026_07_30_21_51_50.json,117,10
2026-07-31 21:32:27,outages_2026_07_31_21_32_27.json,117,10
2026-08-04 21:43:43,outages_2026_08_04_21_43_43.json,117,10
2026-08-05 21:37:58,outages_2026_08_05_21_37_58.json,119,10
2026-08-06 21:42:09,outages_2026_08_06_21_42_09.json,119,10
2026-08-07 21:35:21,outages_2026_08_07_21_35_21.json,117,10
2026-08-10 21:46:57,outages_2026_08_10_21_46_57.json,121,10
2026-08-11 21:31:32,outages_2026_08_11_21_31_32.json,120,10
2026-08-12 21:33:46,outages_2026_08_12_21_33_46.json,120,10
2026-08-13 21:42:19,outages_2026_08_13_21_42_19.json,118,10
2026-08-14 21:41:40,outages_2026_08_14_21_41_40.json,119,10
2026-08-17 22:17:32,outages_2026_08_17_22_17_32.json,114,10
2026-08-18 21:50:21,outages_2026_08_18_21_50_21.json,113,10
2026-08-19 21:37:42,outages_2026_08_19_21_37_42.json,106,10
2026-08-20 21:31:45,outages_2026_08_20_21_31_45.json,104,10
2026-08-21 21:31:35,outages_2026_08_21_21_31_35.json,103,10
2026-08-24 21:40:35,outages_2026_08_24_21_40_35.json,103,10
2026-08-25 21:34:13,outages_2026_08_25_21_34_13.json,104,10
2026-08-26 21:45:21,outages_2026_08_26_21_45_21.json,104,10
2026-08-27 21:29:55,outages_2026_08_27_21_29_55.json,106,10
2026-08-28 21:40:44,outages_2026_08_28_21_40_44.json,105,10
