ReportingFacilityID,name,operator,facility_type,twp,rge,mer,location,rate_bbld,month,lat,lon
ABGS0090951,PWE Pouce Coupe  1-19 GGS,TAQA NORTH LTD.,GS,77,10,6,01-19-077-10W6,137.47455242671833,2026-06,55.675664,-119.468034
ABGP0094382,7G Lator 01-21-63-02W6 Gas Plant,ARC RESOURCES LTD.,GP,63,2,6,01-21-063-02W6,136.5520451357658,2026-06,54.487991,-118.1784015
ABGP0118855,PGS KAKWA RIVER 08-13,PEMBINA GAS INFRASTRUCTURE INC.,GP,63,5,6,08-13-063-05W6,135.23118242372018,2026-06,54.450861,-118.67915350000001
ABGP0001043,HUSSAR-2 13-36-24-21w4,CANADIAN NATURAL RESOURCES LIMITED,GP,24,21,4,13-36-024-21W4,132.88298204675016,2026-06,51.0443395,-112.8669265
ABGP0079061,SMOKY 7-36-58-3w6,CANADIAN NATURAL RESOURCES LIMITED,GP,58,3,6,07-36-058-03W6,131.310526437172,2026-06,54.042551,-118.3420715
ABGP0001987,PEMBINA 13-35-47-10W5,GRAN TIERRA CANADA LTD.,GP,47,10,5,13-35-047-10W5,122.0225553032638,2026-06,53.063828,-115.3784225
ABGS0096859,Kakwa Bypass to TLM,TOURMALINE OIL CORP.,GS,61,5,6,04-26-061-05W6,121.87579277970316,2026-06,54.2842425,-118.651531
ABGS0133622,FERRIER 15-16-038-06W5 GGS,PARAMOUNT RESOURCES LTD.,GS,38,6,5,15-16-038-06W5,120.42913361889127,2026-06,52.264968,-114.775117
ABGS0163357,PARA PA 12-02 GOLD CREEK,OVINTIV CANADA ULC,GS,67,7,6,01-18-067-07W6,116.57137585672623,2026-06,54.793595,-119.044618
ABGP0154913,LTAM High River 12-31-016-28W4,LONG TERM ASSET MANAGEMENT INC.,GP,16,28,4,12-31-016-28W4,116.06819006166124,2026-06,50.3829815,-113.844403
ABGS0115516,GILBY 03-28-41-4 GGS,TOURMALINE OIL CORP.,GS,41,4,5,03-28-041-04W5,115.71176679015684,2026-06,52.543676,-114.508118
ABGS0080687,Wild River 11-16-055-24 W5 GGS,TOURMALINE OIL CORP.,GS,55,24,5,11-16-055-24W5,113.48936286195308,2026-06,53.770872999999995,-117.513217
ABGP0001351,WAPITI NORTH 4-8-69-8w6,CANADIAN NATURAL RESOURCES LIMITED,GP,69,8,6,04-08-069-08W6,112.27333052387932,2026-06,54.9683005,-119.1682615
ABGP0096335,Duvernay Sundance Gas Plant 15-7,TOURMALINE OIL CORP.,GP,54,21,5,15-07-054-21W5,111.41372145730993,2026-06,53.6825685,-117.054007
ABGS0003454,CHEVRON PEMBINA NISKU,TMAX ENERGY LTD.,GS,49,12,5,11-22-049-12W5,110.61701061512369,2026-06,53.234365,-115.66247849999999
ABGS0088371,OCHIESE 05-21-047-10W5 GGS,BAYTEX ENERGY LTD.,GS,47,10,5,05-21-047-10W5,109.2332496786949,2026-06,53.063828,-115.3784225
ABGP0001130,CENTRAL GILBY GP 02-27,SPARTAN DELTA CORP.,GP,40,3,5,02-27-040-03W5,107.74465836829427,2026-06,52.445445,-114.366872
ABGS0150374,7G Kakwa River Deep Cut GS,ARC RESOURCES LTD.,GS,63,4,6,08-07-063-04W6,104.15945957845611,2026-06,54.455086,-118.547553
ABGP0001114,CAMPUS BANTRY,PIVOTAL ENERGY PARTNERS INC.,GP,17,12,4,04-33-017-12W4,103.29985051188672,2026-06,50.45013,-111.586265
ABGS0149882,PECO 08-11-047-16w5,CANLIN RESOURCES PARTNERSHIP,GS,47,16,5,08-11-047-16W5,96.80036732563039,2026-06,53.056922,-116.245037
ABGP0117818,Anderson GP 00/01-09-051-24W5M,TOURMALINE OIL CORP.,GP,51,24,5,01-09-051-24W5,94.57796339742663,2026-06,53.378936,-117.460991
ABGS0129930,Apache Willesden Green 11-19 GGS,TOURMALINE OIL CORP.,GS,41,5,5,11-19-041-05W5,92.16686479607348,2026-06,52.535095,-114.664207
ABGP0001088,BONTERRA 05-35 SWEET GAS PLANT,BONTERRA ENERGY CORP.,GP,48,4,5,05-35-048-04W5,91.68464507580285,2026-06,53.145284000000004,-114.511561
ABGS0155217,KEYERA 16-34 TO PEMB NORTH 11-22 GP,TMAX ENERGY LTD.,GS,49,12,5,11-22-049-12W5,88.98002142732844,2026-06,53.234365,-115.66247849999999
ABGS0003362,AMOCO WILLESDEN GREEN,OBSIDIAN ENERGY LTD.,GS,42,8,5,13-27-042-08W5,87.26080329418967,2026-06,52.6330145,-115.0707165
ABGS0003761,HUSKY ANSELL 7-27,CENOVUS ENERGY INC.,GS,51,19,5,07-27-051-19W5,86.06573703091028,2026-06,53.407869,-116.714957
ABGS0164332,Westbrick 5-1-49-10 GGS,TMAX ENERGY LTD.,GS,50,14,5,14-03-050-14W5,85.75124590899466,2026-06,53.321987,-115.991357
ABGS0106864,PCS 03-22-078-12W6 GGS ABGS 0106864,BIRCHCLIFF ENERGY LTD.,GS,78,12,6,03-22-078-12W6,85.31095833831277,2026-06,55.76599950000001,-119.774323
ABGS0166703,Comp 01-06 to 10-07 GP KAKWA,CENOVUS ENERGY INC.,GS,63,5,6,10-07-063-05W6,83.29821515805276,2026-06,54.450861,-118.67915350000001
ABGS0169245,Westbrick Cynthia 04-21-049-11W5 GGS,TMAX ENERGY LTD.,GS,49,10,5,16-10-049-10W5,81.18064160382086,2026-06,53.2415205,-115.393683
ABGP0001746,SPECTRA POUCE COUPE 5-23 GAS PLANT,NORTHRIVER MIDSTREAM INC.,GP,80,13,6,05-23-080-13W6,77.63737496357145,2026-06,55.934960000000004,-119.908471
ABGP0165948,MARTEN HILLS 15-29-73-24 GP,SPUR PETROLEUM LTD.,GP,73,24,4,29-073-24W4,76.67293552303019,2026-06,55.345712500000005,-113.662293
ABGP0001895,FOURTH CREEK GAS PLANT,NORTHRIVER MIDSTREAM INC.,GP,82,9,6,16-11-082-09W6,72.06039906826763,2026-06,56.143565,-119.366285
ABGP0001062,CFR Carson Creek GP 4-23-61-12W5,CONIFER ENERGY INC.,GP,61,12,5,04-23-061-12W5,71.70397579676326,2026-06,54.273216,-115.764789
ABGS0002385,FERRIER 01-20-039-07W5,CANADIAN NATURAL RESOURCES LIMITED,GS,39,7,5,01-20-039-07W5,71.68300972196887,2026-06,52.357569,-114.970624
ABGP0001042,KARR 10-10-065-02W6,CANADIAN NATURAL RESOURCES LIMITED,GP,65,2,6,10-10-065-02W6,70.63470598225013,2026-06,54.61009850000001,-118.2649095
ABGP0001184,KNOPCIK 9-10-74-11w6,CANADIAN NATURAL RESOURCES LIMITED,GP,74,11,6,09-10-074-11W6,65.3302890592732,2026-06,55.414653,-119.597491
ABGS0152420,XTO 7-20-60-19W5 Gathering System,WHITECAP RESOURCES INC.,GS,60,19,5,07-20-060-19W5,65.24642476009569,2026-06,54.196463,-116.775463
ABGP0001885,GRANUM 13-31-11-26W4,CANADIAN NATURAL RESOURCES LIMITED,GP,11,26,4,13-31-011-26W4,64.78517111461944,2026-06,49.928667,-113.465424
ABGP0111570,Tourmaline Hinton 06-32 Gas Plant,TOURMALINE OIL CORP.,GP,51,25,5,06-32-051-25W5,64.74323896503068,2026-06,53.415876,-117.625124
ABGS0131640,Wapiti 03-36-65-06W6 GS,OVINTIV CANADA ULC,GS,65,6,6,03-36-065-06W6,63.27561372942443,2026-06,54.633456,-118.810985
ABGP0001715,SMOKY KISKIU 13-9-58-2w6,CANADIAN NATURAL RESOURCES LIMITED,GP,58,2,6,13-09-058-02W6,63.191749430246915,2026-06,54.0322525,-118.229299
ABGP0001360,PETRO-CAN HANLAN,CANLIN RESOURCES PARTNERSHIP,GP,49,20,5,15-02-049-20W5,60.40326148259502,2026-06,53.248112,-116.849474
ABGP0001383,VALLHALA 1-29-75-9w6,CANADIAN NATURAL RESOURCES LIMITED,GP,75,9,6,01-29-075-09W6,59.396889892465005,2026-06,55.518481,-119.316408
ABGP0147748,PEYTO CANADA AURORA 11-13-43-13W5 GP,PEYTO CANADA CORP.,GP,43,13,5,11-13-043-13W5,57.48897708617686,2026-06,52.6893135,-115.8305905
ABGP0001387,SEIU LAKE 14-12-26-19W4,NORTH 40 RESOURCES LTD.,GP,26,19,4,14-12-026-19W4,56.62936801960748,2026-06,51.253736,-112.572939
ABGP0001853,BIGSTONE PLANT 100/14-28-059-22W5 GP,PEYTO EXPLORATION & DEVELOPMENT CORP.,GP,59,22,5,14-28-059-22W5,55.64396250427183,2026-06,54.11796,-117.24626
ABGS0137434,VEI 12-3-50-13 TO 06-28 GAS GATH,VERMILION ENERGY INC.,GS,50,13,5,12-03-050-13W5,55.41333568153372,2026-06,53.32443,-115.786714
ABGP0097445,Duvernay Oldman Gas Plant 10-24,TOURMALINE OIL CORP.,GP,56,21,5,10-24-056-21W5,54.763387362908084,2026-06,53.8405265,-117.051275
ABGP0001445,PENN WEST PEMBINA,MANCAL ENERGY INC.,GP,45,6,5,06-19-045-06W5,54.19730334345995,2026-06,52.88693,-114.788287
ABGS0140578,PARA 16-08-061-03W6 - GGS,ARC RESOURCES LTD.,GS,61,3,6,16-08-061-03W6,53.819913997161194,2026-06,54.299646,-118.3731
ABGP0001759,ANSELL 7-27-51-19w5,CANADIAN NATURAL RESOURCES LIMITED,GP,51,19,5,07-27-051-19W5,49.73152941225803,2026-06,53.407869,-116.714957
ABGP0001414,CAMPUS PARKLAND,PIVOTAL ENERGY PARTNERS INC.,GP,15,27,4,07-11-015-27W4,48.075209503502386,2026-06,50.2515505,-113.6155755
ABGP0001713,VIKING-KINSELLA 13-31-48-12W4,PINE CLIFF ENERGY LTD.,GP,48,12,4,13-31-048-12W4,47.38332903528801,2026-06,53.142202,-111.70589
ABGP0123090,GORDONDALE GAS PLANT,BIRCHCLIFF ENERGY LTD.,GP,78,11,6,16-31-078-11W6,45.60121267776611,2026-06,55.758481,-119.634654
ABGP0001096,PETRO-CAN WILSON CREEK,MANCAL ENERGY INC.,GP,43,4,5,01-29-043-04W5,45.05609473311235,2026-06,52.697836,-114.522886
ABGP0001249,VEI ETALAKE 07-07-051-11W5 GAS PLANT,VERMILION ENERGY INC.,GP,51,11,5,07-07-051-11W5,44.90933220955173,2026-06,53.394558,-115.59668
ABGS0138834,11-15-62-18W5 GAS GATHER,WHITECAP PARTNERSHIP,GS,62,18,5,11-15-062-18W5,44.867400059962975,2026-06,54.357082,-116.627425
ABGP0001668,SPECTRA GORDONDALE EAST GAS PLANT,NORTHRIVER MIDSTREAM INC.,GP,79,9,6,11-26-079-09W6,43.69329987147797,2026-06,55.863429,-119.31634
ABGS0002765,TRIGAS IRRICANA,TAQA NORTH LTD.,GS,28,27,4,06-20-028-27W4,40.841913699442934,2026-06,51.4078485,-113.7240055
ABGP0093277,Willesden Green Gas Plant,OBSIDIAN ENERGY LTD.,GP,42,7,5,14-01-042-07W5,40.2758296799948,2026-06,52.611429,-114.943359
ABGS0134393,MORNINGSIDE 11-35 COMP,TOURMALINE OIL CORP.,GS,42,1,5,11-35-042-01W5,38.996899117537914,2026-06,52.661261,-114.105986
ABGS0003268,IMPERIAL WEST PEMBINA,WHITECAP RESOURCES INC.,GS,49,10,5,13-22-049-10W5,37.990527527407906,2026-06,53.2415205,-115.393683
ABGP0001516,PENN WEST CRYSTAL,JOURNEY ENERGY INC.,GP,46,3,5,09-06-046-03W5,37.759900704669775,2026-06,52.995902,-114.373296
ABGS0006474,WILD RIVER 8-30-57-24w5,CANADIAN NATURAL RESOURCES LIMITED,GS,57,24,5,08-30-057-24W5,37.13091846083852,2026-06,53.9347565,-117.477962
ABGS0136820,Hinton 15-20 Gas Gathering System,TOURMALINE OIL CORP.,GS,53,27,5,15-20-053-27W5,35.26493780413912,2026-06,53.608623,-117.959511
ABGP0086379,ACL Granum Gas Plt 14-31-11-26 W4,LONG TERM ASSET MANAGEMENT INC.,GP,11,26,4,14-31-011-26W4,35.22300565455037,2026-06,49.928667,-113.465424
ABGS0084444,HOADLEY GS 11-09-044-02W5,TOURMALINE OIL CORP.,GS,44,2,5,11-09-044-02W5,34.34243051318662,2026-06,52.799707,-114.224918
ABGP0001625,KEYERA CYNTHIA 6-28 GAS PLANT,KEYERA ENERGY LTD.,GP,49,11,5,06-28-049-11W5,34.19566798962599,2026-06,53.241277,-115.543374
ABGP0001874,CHINCHAGA 11-33-96-8w6,CANADIAN NATURAL RESOURCES LIMITED,GP,96,8,6,11-33-096-08W6,34.048905466065364,2026-06,57.376855,-119.265682
ABGS0146271,FERRYBANK GGS 01-01-042-28W4,TOURMALINE OIL CORP.,GS,42,28,4,01-01-042-28W4,33.46185537182286,2026-06,52.638329,-113.932131
ABGS0171654,WCP 07-21-062-05W6 Gas Gathering,WHITECAP RESOURCES INC.,GS,62,5,6,07-21-062-05W6,32.5812802304591,2026-06,54.391214,-118.669699
ABGP0138191,SWR Windfall GP 14-24-59-16 W5,OUTLIER RESOURCES LTD.,GP,59,16,5,14-24-059-16W5,32.099060510188465,2026-06,54.132544,-116.366626
